date,booking_id,agency_id,agency_name,channel,gross_sales,net_sales,currency
2026-01-01,HR2026000101,AG001,Atlas Partners,Booking.com,133.45,121.44,USD
2026-01-01,HR2026000102,AG002,Beacon Agency,Expedia,124.74,113.51,USD
2026-01-01,HR2026000103,AG003,Cedar Travel,Agoda,112.03,101.95,USD
2026-01-01,HR2026000104,AG004,Drift Voyages,Hotelbeds,101.32,92.20,USD
2026-01-01,HR2026000105,AG005,Elm Holidays,WholesalerX,90.61,82.46,USD
2026-01-01,HR2026000106,DIRECT,Direct Channel,Direct,117.90,107.29,USD
2026-01-07,HR2026000201,AG001,Atlas Partners,Booking.com,133.82,121.78,USD
2026-01-07,HR2026000202,AG002,Beacon Agency,Expedia,125.11,113.85,USD
2026-01-07,HR2026000203,AG003,Cedar Travel,Agoda,112.40,102.28,USD
2026-01-07,HR2026000204,AG004,Drift Voyages,Hotelbeds,101.69,92.54,USD
2026-01-07,HR2026000205,AG005,Elm Holidays,WholesalerX,90.98,82.79,USD
2026-01-07,HR2026000206,DIRECT,Direct Channel,Direct,118.27,107.63,USD
2026-01-13,HR2026000301,AG001,Atlas Partners,Booking.com,134.19,122.11,USD
2026-01-13,HR2026000302,AG002,Beacon Agency,Expedia,125.48,114.19,USD
2026-01-13,HR2026000303,AG003,Cedar Travel,Agoda,112.77,102.62,USD
2026-01-13,HR2026000304,AG004,Drift Voyages,Hotelbeds,102.06,92.88,USD
2026-01-13,HR2026000305,AG005,Elm Holidays,WholesalerX,91.35,83.13,USD
2026-01-13,HR2026000306,DIRECT,Direct Channel,Direct,118.64,107.96,USD
2026-01-19,HR2026000401,AG001,Atlas Partners,Booking.com,134.56,122.45,USD
2026-01-19,HR2026000402,AG002,Beacon Agency,Expedia,125.85,114.52,USD
2026-01-19,HR2026000403,AG003,Cedar Travel,Agoda,113.14,102.96,USD
2026-01-19,HR2026000404,AG004,Drift Voyages,Hotelbeds,102.43,93.21,USD
2026-01-19,HR2026000405,AG005,Elm Holidays,WholesalerX,91.72,83.47,USD
2026-01-19,HR2026000406,DIRECT,Direct Channel,Direct,119.01,108.30,USD
2026-01-25,HR2026000501,AG001,Atlas Partners,Booking.com,134.93,122.79,USD
2026-01-25,HR2026000502,AG002,Beacon Agency,Expedia,126.22,114.86,USD
2026-01-25,HR2026000503,AG003,Cedar Travel,Agoda,113.51,103.29,USD
2026-01-25,HR2026000504,AG004,Drift Voyages,Hotelbeds,102.80,93.55,USD
2026-01-25,HR2026000505,AG005,Elm Holidays,WholesalerX,92.09,83.80,USD
2026-01-25,HR2026000506,DIRECT,Direct Channel,Direct,119.38,108.64,USD
2026-02-01,HR2026000601,AG001,Atlas Partners,Booking.com,134.40,122.30,USD
2026-02-01,HR2026000602,AG002,Beacon Agency,Expedia,125.69,114.38,USD
2026-02-01,HR2026000603,AG003,Cedar Travel,Agoda,112.98,102.81,USD
2026-02-01,HR2026000604,AG004,Drift Voyages,Hotelbeds,102.27,93.07,USD
2026-02-01,HR2026000605,AG005,Elm Holidays,WholesalerX,91.56,83.32,USD
2026-02-01,HR2026000606,DIRECT,Direct Channel,Direct,118.85,108.15,USD
2026-02-07,HR2026000701,AG001,Atlas Partners,Booking.com,134.77,122.64,USD
2026-02-07,HR2026000702,AG002,Beacon Agency,Expedia,126.06,114.71,USD
2026-02-07,HR2026000703,AG003,Cedar Travel,Agoda,113.35,103.15,USD
2026-02-07,HR2026000704,AG004,Drift Voyages,Hotelbeds,102.64,93.40,USD
2026-02-07,HR2026000705,AG005,Elm Holidays,WholesalerX,91.93,83.66,USD
2026-02-07,HR2026000706,DIRECT,Direct Channel,Direct,119.22,108.49,USD
2026-02-13,HR2026000801,AG001,Atlas Partners,Booking.com,135.14,122.98,USD
2026-02-13,HR2026000802,AG002,Beacon Agency,Expedia,126.43,115.05,USD
2026-02-13,HR2026000803,AG003,Cedar Travel,Agoda,113.72,103.48,USD
2026-02-13,HR2026000804,AG004,Drift Voyages,Hotelbeds,103.01,93.74,USD
2026-02-13,HR2026000805,AG005,Elm Holidays,WholesalerX,92.30,83.99,USD
2026-02-13,HR2026000806,DIRECT,Direct Channel,Direct,119.59,108.83,USD
2026-02-19,HR2026000901,AG001,Atlas Partners,Booking.com,135.51,123.31,USD
2026-02-19,HR2026000902,AG002,Beacon Agency,Expedia,126.80,115.39,USD
2026-02-19,HR2026000903,AG003,Cedar Travel,Agoda,114.09,103.82,USD
2026-02-19,HR2026000904,AG004,Drift Voyages,Hotelbeds,103.38,94.08,USD
2026-02-19,HR2026000905,AG005,Elm Holidays,WholesalerX,92.67,84.33,USD
2026-02-19,HR2026000906,DIRECT,Direct Channel,Direct,119.96,109.16,USD
2026-02-25,HR2026001001,AG001,Atlas Partners,Booking.com,135.72,123.51,USD
2026-02-25,HR2026001002,AG002,Beacon Agency,Expedia,127.02,115.59,USD
2026-02-25,HR2026001003,AG003,Cedar Travel,Agoda,114.33,104.04,USD
2026-02-25,HR2026001004,AG004,Drift Voyages,Hotelbeds,103.63,94.30,USD
2026-02-25,HR2026001005,AG005,Elm Holidays,WholesalerX,92.93,84.57,USD
2026-02-25,HR2026001006,DIRECT,Direct Channel,Direct,120.20,109.38,USD
2026-03-01,HR2026001101,AG001,Atlas Partners,Booking.com,135.35,123.17,USD
2026-03-01,HR2026001102,AG002,Beacon Agency,Expedia,126.64,115.24,USD
2026-03-01,HR2026001103,AG003,Cedar Travel,Agoda,113.93,103.68,USD
2026-03-01,HR2026001104,AG004,Drift Voyages,Hotelbeds,103.22,93.93,USD
2026-03-01,HR2026001105,AG005,Elm Holidays,WholesalerX,92.51,84.18,USD
2026-03-01,HR2026001106,DIRECT,Direct Channel,Direct,119.80,109.02,USD
2026-03-07,HR2026001201,AG001,Atlas Partners,Booking.com,135.72,123.51,USD
2026-03-07,HR2026001202,AG002,Beacon Agency,Expedia,127.01,115.58,USD
2026-03-07,HR2026001203,AG003,Cedar Travel,Agoda,114.30,104.01,USD
2026-03-07,HR2026001204,AG004,Drift Voyages,Hotelbeds,103.59,94.27,USD
2026-03-07,HR2026001205,AG005,Elm Holidays,WholesalerX,92.88,84.52,USD
2026-03-07,HR2026001206,DIRECT,Direct Channel,Direct,120.17,109.35,USD
2026-03-13,HR2026001301,AG001,Atlas Partners,Booking.com,136.09,123.84,USD
2026-03-13,HR2026001302,AG002,Beacon Agency,Expedia,127.38,115.92,USD
2026-03-13,HR2026001303,AG003,Cedar Travel,Agoda,114.67,104.35,USD
2026-03-13,HR2026001304,AG004,Drift Voyages,Hotelbeds,103.96,94.60,USD
2026-03-13,HR2026001305,AG005,Elm Holidays,WholesalerX,93.25,84.86,USD
2026-03-13,HR2026001306,DIRECT,Direct Channel,Direct,120.54,109.69,USD
2026-03-19,HR2026001401,AG001,Atlas Partners,Booking.com,136.46,124.18,USD
2026-03-19,HR2026001402,AG002,Beacon Agency,Expedia,127.75,116.25,USD
2026-03-19,HR2026001403,AG003,Cedar Travel,Agoda,115.04,104.69,USD
2026-03-19,HR2026001404,AG004,Drift Voyages,Hotelbeds,104.33,94.94,USD
2026-03-19,HR2026001405,AG005,Elm Holidays,WholesalerX,93.62,85.19,USD
2026-03-19,HR2026001406,DIRECT,Direct Channel,Direct,120.91,110.03,USD
2026-03-25,HR2026001501,AG001,Atlas Partners,Booking.com,136.83,124.52,USD
2026-03-25,HR2026001502,AG002,Beacon Agency,Expedia,128.12,116.59,USD
2026-03-25,HR2026001503,AG003,Cedar Travel,Agoda,115.41,105.02,USD
2026-03-25,HR2026001504,AG004,Drift Voyages,Hotelbeds,104.70,95.28,USD
2026-03-25,HR2026001505,AG005,Elm Holidays,WholesalerX,93.99,85.53,USD
2026-03-25,HR2026001506,DIRECT,Direct Channel,Direct,121.28,110.36,USD
2026-04-01,HR2026001601,AG001,Atlas Partners,Booking.com,136.30,124.03,USD
2026-04-01,HR2026001602,AG002,Beacon Agency,Expedia,127.59,116.11,USD
2026-04-01,HR2026001603,AG003,Cedar Travel,Agoda,114.88,104.54,USD
2026-04-01,HR2026001604,AG004,Drift Voyages,Hotelbeds,104.17,94.80,USD
2026-04-01,HR2026001605,AG005,Elm Holidays,WholesalerX,93.46,85.05,USD
2026-04-01,HR2026001606,DIRECT,Direct Channel,Direct,120.75,109.88,USD
2026-04-07,HR2026001701,AG001,Atlas Partners,Booking.com,146.44,133.26,USD
2026-04-07,HR2026001702,AG002,Beacon Agency,Expedia,137.11,124.77,USD
2026-04-07,HR2026001703,AG003,Cedar Travel,Agoda,123.49,112.38,USD
2026-04-07,HR2026001704,AG004,Drift Voyages,Hotelbeds,112.01,101.93,USD
2026-04-07,HR2026001705,AG005,Elm Holidays,WholesalerX,100.54,91.49,USD
2026-04-07,HR2026001706,DIRECT,Direct Channel,Direct,129.78,118.10,USD
2026-04-13,HR2026001801,AG001,Atlas Partners,Booking.com,127.27,115.82,USD
2026-04-13,HR2026001802,AG002,Beacon Agency,Expedia,119.18,108.45,USD
2026-04-13,HR2026001803,AG003,Cedar Travel,Agoda,107.38,97.72,USD
2026-04-13,HR2026001804,AG004,Drift Voyages,Hotelbeds,97.43,88.66,USD
2026-04-13,HR2026001805,AG005,Elm Holidays,WholesalerX,87.49,79.62,USD
2026-04-13,HR2026001806,DIRECT,Direct Channel,Direct,112.84,102.68,USD
2026-04-19,HR2026001901,AG001,Atlas Partners,Booking.com,137.41,125.04,USD
2026-04-19,HR2026001902,AG002,Beacon Agency,Expedia,128.70,117.12,USD
2026-04-19,HR2026001903,AG003,Cedar Travel,Agoda,115.99,105.55,USD
2026-04-19,HR2026001904,AG004,Drift Voyages,Hotelbeds,105.28,95.81,USD
2026-04-19,HR2026001905,AG005,Elm Holidays,WholesalerX,94.57,86.06,USD
2026-04-19,HR2026001906,DIRECT,Direct Channel,Direct,121.86,110.89,USD
2026-04-25,HR2026002001,AG001,Atlas Partners,Booking.com,137.78,125.38,USD
2026-04-25,HR2026002002,AG002,Beacon Agency,Expedia,129.07,117.45,USD
2026-04-25,HR2026002003,AG003,Cedar Travel,Agoda,116.36,105.89,USD
2026-04-25,HR2026002004,AG004,Drift Voyages,Hotelbeds,105.65,96.14,USD
2026-04-25,HR2026002005,AG005,Elm Holidays,WholesalerX,94.94,86.40,USD
2026-04-25,HR2026002006,DIRECT,Direct Channel,Direct,94.23,85.75,USD
2026-04-25,HR2026002007,AGNEW,Nova Ventures,Nova Channel,28.00,25.48,USD
2026-05-01,HR2026002101,AG001,Atlas Partners,Booking.com,137.25,124.90,USD
2026-05-01,HR2026002102,AG002,Beacon Agency,Expedia,128.54,116.97,USD
2026-05-01,HR2026002103,AG003,Cedar Travel,Agoda,115.83,105.40,USD
