date,agency_id,agency_name,gross_sales,net_sales,currency,note
2025-01-01,AG001,Atlas Partners,120.95,110.06,USD,
2025-01-01,AG002,Beacon Agency,112.24,102.14,USD,
2025-01-01,AG003,Cedar Travel,99.53,90.57,USD,
2025-01-01,AG004,Drift Voyages,88.82,80.83,USD,
2025-01-01,AG005,Elm Holidays,78.11,71.08,USD,
2025-01-01,DIRECT,Direct Channel,105.40,95.91,USD,
2025-01-07,AG001,Atlas Partners,121.32,110.40,USD,
2025-01-07,AG002,Beacon Agency,112.61,102.48,USD,
2025-01-07,AG003,Cedar Travel,99.90,90.91,USD,
2025-01-07,AG004,Drift Voyages,89.19,81.16,USD,
2025-01-07,AG005,Elm Holidays,78.48,71.42,USD,
2025-01-07,DIRECT,Direct Channel,105.77,96.25,USD,
2025-01-13,AG001,Atlas Partners,121.69,110.74,USD,
2025-01-13,AG002,Beacon Agency,112.98,102.81,USD,
2025-01-13,AG003,Cedar Travel,100.27,91.25,USD,
2025-01-13,AG004,Drift Voyages,89.56,81.50,USD,
2025-01-13,AG005,Elm Holidays,78.85,71.75,USD,
2025-01-13,DIRECT,Direct Channel,106.14,96.59,USD,
2025-01-19,AG001,Atlas Partners,122.06,111.07,USD,
2025-01-19,AG002,Beacon Agency,113.35,103.15,USD,
2025-01-19,AG003,Cedar Travel,100.64,91.58,USD,
2025-01-19,AG004,Drift Voyages,89.93,81.84,USD,
2025-01-19,AG005,Elm Holidays,79.22,72.09,USD,
2025-01-19,DIRECT,Direct Channel,106.51,96.92,USD,
2025-01-25,AG001,Atlas Partners,122.43,111.41,USD,
2025-01-25,AG002,Beacon Agency,113.72,103.49,USD,
2025-01-25,AG003,Cedar Travel,101.01,91.92,USD,
2025-01-25,AG004,Drift Voyages,90.30,82.17,USD,
2025-01-25,AG005,Elm Holidays,79.59,72.43,USD,
2025-01-25,DIRECT,Direct Channel,106.88,97.26,USD,
2025-02-01,AG001,Atlas Partners,121.90,110.93,USD,
2025-02-01,AG002,Beacon Agency,113.19,103.00,USD,
2025-02-01,AG003,Cedar Travel,100.48,91.44,USD,
2025-02-01,AG004,Drift Voyages,89.77,81.69,USD,
2025-02-01,AG005,Elm Holidays,79.06,71.94,USD,
2025-02-01,DIRECT,Direct Channel,106.35,96.78,USD,
2025-02-07,AG001,Atlas Partners,122.27,111.27,USD,
2025-02-07,AG002,Beacon Agency,113.56,103.34,USD,
2025-02-07,AG003,Cedar Travel,100.85,91.77,USD,
2025-02-07,AG004,Drift Voyages,90.14,82.03,USD,
2025-02-07,AG005,Elm Holidays,79.43,72.28,USD,
2025-02-07,DIRECT,Direct Channel,106.72,97.12,USD,
2025-02-13,AG001,Atlas Partners,122.64,111.60,USD,
2025-02-13,AG002,Beacon Agency,113.93,103.68,USD,
2025-02-13,AG003,Cedar Travel,101.22,92.11,USD,
2025-02-13,AG004,Drift Voyages,90.51,82.36,USD,
